CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
VANDALISM	10/10/2018 08:00:00 PM	18-914348	VANDALISM	08X	2400 BROADWAY	Oakland	CA	"2400 BROADWAY
Oakland, CA
(37.813391, -122.265467)"
ASSAULT	09/06/2018 06:50:00 PM	18-045249	BATTERY	01X	300 BROADWAY	Oakland	CA	"300 BROADWAY
Oakland, CA
(37.796897, -122.275771)"
THEFT/LARCENY	09/02/2018 12:30:00 AM	18-912257	BURGLARY-AUTO	35Y	00 MAGGIORA DR	Oakland	CA	"00 MAGGIORA DR
Oakland, CA"
BURGLARY	07/25/2018 01:00:00 PM	18-037464	BURGLARY-FORCIBLE ENTRY	34X	8400 BANCROFT AV	Oakland	CA	"8400 BANCROFT AV
Oakland, CA
(37.758211, -122.168976)"
DISTURBING THE PEACE	09/12/2018 09:00:00 AM	18-046510	DISTURB THE PEACE	25X	4200 TOMPKINS AV	Oakland	CA	"4200 TOMPKINS AV
Oakland, CA
(37.791328, -122.188856)"
MOTOR VEHICLE THEFT	09/27/2018 10:30:00 PM	18-049869	VEHICLE THEFT - AUTO	15X	2300 PARK BLVD	Oakland	CA	"2300 PARK BLVD
Oakland, CA
(37.801663, -122.245102)"
THEFT/LARCENY	09/04/2018 08:00:00 AM	18-912333	BURGLARY-AUTO	99X	1400 PULLMAN	Oakland	CA	"1400 PULLMAN
Oakland, CA"
ASSAULT	09/30/2018 10:22:00 PM	18-049684	SHOOT:INHAB DWELL/VEH/ETC	27Y	6200 HAYES ST	Oakland	CA	"6200 HAYES ST
Oakland, CA
(37.767436, -122.192121)"
MOTOR VEHICLE THEFT	09/04/2018 08:00:00 PM	18-044980	VEHICLE THEFT - AUTO	31Z	10600 PIPPIN ST	Oakland	CA	"10600 PIPPIN ST
Oakland, CA
(37.734172, -122.174995)"
VANDALISM	10/07/2018 02:30:00 PM	18-051028	VANDALISM	04X	1500 LAKESIDE DR	Oakland	CA	"1500 LAKESIDE DR
Oakland, CA
(37.802944, -122.261708)"
ROBBERY	09/21/2018 07:30:00 PM	18-047985	ROBBERY-FIREARM	32X	10800 INTERNATIONAL BLVD	Oakland	CA	"10800 INTERNATIONAL BLVD
Oakland, CA
(37.737306, -122.165166)"
BURGLARY	09/06/2018 05:53:00 PM	18-045230	BURGLARY-FORCIBLE ENTRY	33X	1300 89TH AV	Oakland	CA	"1300 89TH AV
Oakland, CA
(37.749667, -122.176846)"
THEFT/LARCENY	10/10/2018 08:30:00 PM	18-914402	BURGLARY-AUTO	03X	300 12TH ST	Oakland	CA	"300 12TH ST
Oakland, CA
(37.796574, -122.256491)"
DISTURBING THE PEACE	09/10/2018 01:00:00 PM	18-046372	DISTURB THE PEACE	26Y	1300 58TH AV	Oakland	CA	"1300 58TH AV
Oakland, CA
(37.764629, -122.201554)"
ROBBERY	08/27/2018 11:40:00 PM	18-043293	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	02Y	800 WILLOW ST	Oakland	CA	"800 WILLOW ST
Oakland, CA
(37.80782, -122.300368)"
MOTOR VEHICLE THEFT	08/31/2018 09:00:00 PM	18-044386	VEHICLE THEFT - AUTO	32Y	2000 102ND AV	Oakland	CA	"2000 102ND AV
Oakland, CA
(37.743274, -122.161296)"
MOTOR VEHICLE THEFT	10/09/2018 01:15:00 PM	18-051270	VEHICLE THEFT - AUTO	33X	1300 92ND AV	Oakland	CA	"1300 92ND AV
Oakland, CA
(37.747702, -122.175346)"
VANDALISM	10/20/2018 07:45:00 AM	18-053337	VANDALISM	20X	1600 FRUITVALE AVE.	Oakland	CA	"1600 FRUITVALE AVE.
Oakland, CA
(37.780305, -122.22449)"
THEFT/LARCENY	09/05/2018 07:05:00 AM	18-912365	THEFT	29X	6200 LAIRD AV	Oakland	CA	"6200 LAIRD AV
Oakland, CA
(37.776039, -122.179119)"
MOTOR VEHICLE THEFT	08/06/2018 09:07:00 AM	18-039167	VEHICLE THEFT - AUTO	06X	3500 MARTIN LUTHER KING JR W	Oakland	CA	"3500 MARTIN LUTHER KING JR W
Oakland, CA"
THEFT/LARCENY	09/05/2018 11:00:00 AM	18-044996	THEFT	08X	500 31ST ST	Oakland	CA	"500 31ST ST
Oakland, CA
(37.819997, -122.266913)"
THEFT/LARCENY	09/03/2018 11:45:00 AM	18-912544	BURGLARY-AUTO	35Y	9700 GOLF LINKS RD	Oakland	CA	"9700 GOLF LINKS RD
Oakland, CA
(37.754263, -122.152098)"
ASSAULT	09/21/2018 08:00:00 PM	18-048141	ASSAULT WITH FIREARM ON PERSON	27X	5400 BANCROFT AV	Oakland	CA	"5400 BANCROFT AV
Oakland, CA
(37.771761, -122.200788)"
VANDALISM	09/17/2018 11:45:00 PM	18-913027	VANDALISM	77X	63RD ST	Oakland	CA	"63RD ST
Oakland, CA"
VANDALISM	08/03/2018 12:00:00 AM	18-910551	VANDALISM	02Y	1700 10TH ST	Oakland	CA	"1700 10TH ST
Oakland, CA
(37.809788, -122.299019)"
THEFT/LARCENY	10/15/2018 10:30:00 PM	18-052714	THEFT	25X	4400 REINHARDT DR	Oakland	CA	"4400 REINHARDT DR
Oakland, CA
(37.79207, -122.183768)"
